Symbol,Date,Open,High,Low,Close,Adj Close,Volume
HINDUNILVR,26-04-2023,2490,2518,2482.199951,2510.800049,2490.459717,1245903
HINDUNILVR,27-04-2023,2513.949951,2522,2457,2468.949951,2448.948486,2743893
HINDUNILVR,28-04-2023,2436.050049,2467.800049,2419,2457.300049,2437.393066,3761927
HINDUNILVR,02-05-2023,2471.800049,2478,2450,2451.699951,2431.838379,1760370
HINDUNILVR,03-05-2023,2456.949951,2490,2452.649902,2486,2465.860596,1258140
HINDUNILVR,04-05-2023,2486.949951,2509.350098,2480.149902,2506.75,2486.442383,1150227
HINDUNILVR,05-05-2023,2500,2520,2494.699951,2500.75,2480.490967,1354871
HINDUNILVR,08-05-2023,2505.75,2526.850098,2497.149902,2516.300049,2495.915039,972810
HINDUNILVR,09-05-2023,2525,2525,2500.050049,2515.800049,2495.419189,1651327
HINDUNILVR,10-05-2023,2521,2535,2505.850098,2522.699951,2502.263184,2025658
HINDUNILVR,11-05-2023,2536.949951,2599,2523.600098,2592.399902,2571.398438,1749356
HINDUNILVR,12-05-2023,2594,2640,2586.399902,2623.399902,2602.147217,2170011
HINDUNILVR,15-05-2023,2637.949951,2670.75,2623.050049,2662.25,2640.682617,1561055
HINDUNILVR,16-05-2023,2670,2678.399902,2650.600098,2675.899902,2654.221924,1477905
HINDUNILVR,17-05-2023,2672,2674,2647.050049,2661.75,2640.186768,839404
HINDUNILVR,18-05-2023,2665.5,2669.199951,2621.850098,2627.550049,2606.263916,1434067
HINDUNILVR,19-05-2023,2628.649902,2649,2600.649902,2641.449951,2620.051025,1174757
HINDUNILVR,22-05-2023,2635,2655.449951,2623.050049,2638.100098,2616.728516,768232
HINDUNILVR,23-05-2023,2632,2649.800049,2625,2628.300049,2607.007813,703864
HINDUNILVR,24-05-2023,2620,2638,2608,2614.949951,2593.765869,628872
HINDUNILVR,25-05-2023,2610,2626.149902,2580.550049,2597.25,2576.209229,1072231
HINDUNILVR,26-05-2023,2603.75,2656.699951,2603.100098,2652.350098,2630.863037,947073
HINDUNILVR,29-05-2023,2670,2679.550049,2645.050049,2650.300049,2628.82959,698267
HINDUNILVR,30-05-2023,2655.5,2665,2650.850098,2656.550049,2635.028809,948051
HINDUNILVR,31-05-2023,2656.550049,2680,2638,2667.550049,2645.939697,3388305
HINDUNILVR,01-06-2023,2667,2731.25,2654.5,2697.899902,2676.043701,1541080
HINDUNILVR,02-06-2023,2710,2738.199951,2691.649902,2716.699951,2694.691406,1509260
HINDUNILVR,05-06-2023,2716.449951,2722,2684.149902,2695.800049,2673.960938,1000190
HINDUNILVR,06-06-2023,2700,2707.899902,2670.149902,2691.149902,2669.348389,655372
HINDUNILVR,07-06-2023,2690,2727,2679.350098,2716.199951,2694.195557,1428490
HINDUNILVR,08-06-2023,2707,2721.550049,2674.899902,2679.899902,2658.189697,923536
HINDUNILVR,09-06-2023,2688.949951,2688.949951,2620.100098,2636.199951,2614.84375,1413808
HINDUNILVR,12-06-2023,2645,2657,2633,2643.449951,2622.034912,775484
HINDUNILVR,13-06-2023,2629.600098,2697,2627.5,2675.899902,2654.221924,1787924
HINDUNILVR,14-06-2023,2671,2702.100098,2652,2698.75,2676.886963,1536248
HINDUNILVR,15-06-2023,2713.949951,2717.5,2678.149902,2689.699951,2667.910156,1830192
HINDUNILVR,16-06-2023,2689.699951,2724,2683.199951,2715.649902,2693.649902,1748145
HINDUNILVR,19-06-2023,2702,2711.399902,2675,2683.25,2683.25,1068263
HINDUNILVR,20-06-2023,2670,2680.399902,2648.100098,2676.100098,2676.100098,1129279
HINDUNILVR,21-06-2023,2685.949951,2706.850098,2668.449951,2676.600098,2676.600098,1201840
HINDUNILVR,22-06-2023,2668.649902,2678,2648.699951,2654.350098,2654.350098,830052
HINDUNILVR,23-06-2023,2651.300049,2660.550049,2627.449951,2641.600098,2641.600098,991214
HINDUNILVR,26-06-2023,2642.149902,2674.199951,2642.149902,2652.100098,2652.100098,758700
HINDUNILVR,27-06-2023,2652.100098,2661.600098,2636,2651.350098,2651.350098,687747
HINDUNILVR,28-06-2023,2651.350098,2651.350098,2651.350098,2651.350098,2651.350098,0
HINDUNILVR,30-06-2023,2665.949951,2685.899902,2651.350098,2678.149902,2678.149902,1160181
HINDUNILVR,03-07-2023,2687,2705.850098,2659.449951,2701.050049,2701.050049,980665
HINDUNILVR,04-07-2023,2701.050049,2706.699951,2675,2700,2700,721907
HINDUNILVR,05-07-2023,2699.949951,2759.399902,2696.100098,2755.850098,2755.850098,1717547
